,title,eps_count,publish_date,status,season,studio,rate,eps_period,type,classification
993,Kamisama Hajimemashita◎, 12,2023-09, compleated,Winter,TMS Entertainment,8.21,23.0,series,"['Comedy', 'Fantasy', 'Mythology', 'Romance', 'Shoujo']"
994,Build Divide: Code White, 12,2023-09, compleated,Spring,LIDENFILMS,6.64,23.0,series,"['Fantasy', 'Strategy Game']"
996,Kiseijuu: Sei no Kakuritsu, 24,2023-10, compleated,Fall,Madhouse,8.33,23.0,series,"['Action', 'Gore', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen']"
998,One Piece Movie 04: Dead End no Bouken,null,2024-08, compleated,unknown,Toei Animation,7.51,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
999,Engage Kiss, 13,2023-10, compleated,Summer,A-1 Pictures,6.83,24.0,series,"['Action', 'Comedy', 'Romance']"
1000,Sekirei, 12,2023-09, compleated,Summer,Seven Arcs,7.04,23.0,series,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Seinen', 'Super Power']"
1002,Human Bug Daigaku, 12,2023-09, compleated,Fall,DLE,6.73,23.0,series,"['Comedy', 'Educational', 'Mystery']"
1003,Cestvs: The Roman Fighter, 11,2023-09, compleated,Spring,Bandai Namco Pictures,5.97,22.0,series,"['Action', 'Drama', 'Historical', 'Seinen']"
1005,Shadowverse Flame: Seven Shadows-hen,null,, ongoing,Summer,Zexcs,6.67,,series,"['Fantasy', 'Strategy Game']"
1006,Mob Psycho 100 II, 13,2023-10, compleated,Winter,Bones,8.80,24.0,series,"['Action', 'Comedy', 'Super Power', 'Supernatural']"
1007,Prima Doll, 12,2023-09, compleated,Summer,Bibury Animation Studios,7.12,24.0,series,"['Sci-Fi', 'Slice of Life']"
1009,Subarashiki Kono Sekai The Animation, 12,2023-09, compleated,Spring,domerica,6.14,23.0,series,"['Action', 'Adventure']"
1010,Tsuki ga Michibiku Isekai Douchuu, 12,2023-09, compleated,Summer,C2C,7.71,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai']"
1011,Ars no Kyojuu, 12,2023-09, compleated,Winter,Asahi Production,6.09,24.0,series,"['Action', 'Adventure', 'Fantasy']"
1012,Joker Game, 12,2023-10, compleated,Spring,Production I.G,7.03,23.0,series,"['Drama', 'Historical', 'Military', 'Mystery', 'Suspense']"
1013,Tensei shitara Slime Datta Ken, 24,2023-10, compleated,Fall,8bit,8.14,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']"
1016,Boku no Hero Academia 3rd Season, 25,2023-10, compleated,Spring,Bones,8.03,23.0,series,"['Action', 'School', 'Shounen', 'Super Power']"
1017,New Game!!, 12,2023-09, compleated,Summer,Doga Kobo,7.70,24.0,series,"['Adult Cast', 'CGDCT', 'Comedy', 'Otaku Culture', 'Workplace']"
1019,Rainbow: Nisha Rokubou no Shichinin, 26,2023-10, compleated,Spring,Madhouse,8.47,22.0,series,"['Delinquents', 'Drama', 'Historical', 'Seinen', 'Suspense']"
1020,Chuunibyou demo Koi ga Shitai! Ren, 12,2023-09, compleated,Winter,Kyoto Animation,7.55,23.0,series,"['Comedy', 'Romance', 'School']"
1021,K, 13,2023-10, compleated,Fall,GoHands,7.43,24.0,series,"['Action', 'Fantasy', 'Mystery', 'Super Power']"
1022,Itsudatte Bokura no Koi wa 10 cm Datta., 6,2023-10, compleated,Fall,Lay-duce,7.46,23.0,series,"['Drama', 'Romance', 'School', 'Visual Arts']"
1023,Hajime no Ippo, 75,2023-10, compleated,Fall,Madhouse,8.76,23.0,series,"['Combat Sports', 'Shounen', 'Sports']"
1024,"Tensei Kenja no Isekai Life: Dai-2 no Shokugyou wo Ete, Sekai Saikyou ni Narimashita", 12,2023-09, compleated,Summer,Revoroot,6.31,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Isekai']"
1025,Blue Lock: Episode Nagi,null,, compleated,unknown,8bit,7.32,,movie,"['Shounen', 'Sports', 'Team Sports']"
1026,Hortensia Saga, 12,2023-09, compleated,Winter,LIDENFILMS,5.83,23.0,series,"['Action', 'Adventure', 'Fantasy']"
1027,Dr. Stone: New World, 11,2023-09, compleated,Spring,TMS Entertainment,8.16,24.0,series,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Time Travel']"
1028,Seirei Gensouki, 12,2023-09, compleated,Summer,TMS Entertainment,7.06,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Isekai', 'Reincarnation', 'Romance']"
1030,Isekai Nonbiri Nouka, 12,2023-09, compleated,Winter,Zero-G,7.57,23.0,series,"['Fantasy', 'Isekai', 'Slice of Life']"
1031,Shingeki no Bahamut: Genesis, 12,2023-09, compleated,Fall,MAPPA,7.62,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Mythology']"
1033,ReLIFE: Kanketsu-hen,null,, compleated,unknown,TMS Entertainment,8.20,23.0,series,"['Drama', 'Romance', 'School']"
1035,Kill la Kill, 24,2023-10, compleated,Fall,Trigger,8.04,24.0,series,"['Action', 'Comedy', 'Ecchi', 'School', 'Super Power']"
1038,IDOLiSH7 Third Beat!, 13,2023-10, compleated,Summer,TROYCA,8.22,24.0,series,"['Drama', 'Idols (Male)', 'Music']"
1039,Date A Live III, 12,2023-09, compleated,Winter,J.C.Staff,7.19,24.0,series,"['Action', 'Harem', 'Mecha', 'Romance', 'School', 'Sci-Fi']"
1040,Psycho-Pass, 22,2023-10, compleated,Fall,Production I.G,8.34,23.0,series,"['Action', 'Adult Cast', 'Detective', 'Mystery', 'Psychological', 'Sci-Fi', 'Suspense']"
1041,Meikyuu Black Company, 12,2023-09, compleated,Summer,SILVER LINK.,7.25,23.0,series,"['Comedy', 'Fantasy', 'Isekai']"
1042,Tensei shitara Slime Datta Ken 2nd Season Part 2, 12,2023-09, compleated,Summer,8bit,8.33,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Shounen']"
1044,Koi to Uso, 12,2023-09, compleated,Summer,LIDENFILMS,6.49,24.0,series,"['Drama', 'Love Polygon', 'Romance', 'School']"
1046,Yesterday wo Utatte, 12,2023-09, compleated,Spring,Doga Kobo,6.88,23.0,series,"['Drama', 'Love Polygon', 'Romance', 'Seinen']"
1047,Beastars Final Season,null,, ongoing,unknown,Orange,7.88,,series,"['Anthropomorphic', 'Drama', 'Psychological', 'School', 'Shounen', 'Suspense']"
1048,Mushishi Zoku Shou 2nd Season, 10,2023-09, compleated,Fall,Artland,8.73,23.0,series,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
1049,Healer Girl, 12,2023-09, compleated,Spring,Studio 3Hz,7.33,23.0,series,"['CGDCT', 'Fantasy', 'Music', 'Slice of Life']"
1050,Hirogaru Sky! Precure,null,2023-12, ongoing,Winter,Toei Animation,7.64,,series,"['Action', 'Fantasy', 'Mahou Shoujo']"
1051,Kono Oto Tomare!, 13,2023-10, compleated,Spring,Platinum Vision,7.93,23.0,series,"['Drama', 'Music', 'Performing Arts', 'Romance', 'School', 'Shounen']"
1052,Spy Kyoushitsu, 12,2023-09, compleated,Winter,feel.,6.37,25.0,series,"['Action', 'Fantasy', 'Mystery']"
1053,Date A Live, 12,2023-09, compleated,Spring,AIC PLUS+,7.16,25.0,series,"['Action', 'Harem', 'Mecha', 'Romance', 'School', 'Sci-Fi']"
1054,Mahoutsukai no Yome Season 2, 12,2023-09, compleated,Spring,Studio Kafka,7.74,24.0,series,"['Drama', 'Fantasy', 'Mythology', 'Romance', 'Shounen']"
1055,Super Cub, 12,2023-09, compleated,Spring,Studio Kai,7.44,24.0,series,"['CGDCT', 'Iyashikei', 'School', 'Slice of Life']"
1056,Love Live! Superstar!!, 12,2023-12, compleated,Summer,Sunrise,7.95,23.0,series,"['Idols (Female)', 'Music', 'School', 'Slice of Life']"
1058,Aldnoah.Zero, 12,2023-09, compleated,Summer,A-1 Pictures,7.39,23.0,series,"['Action', 'Mecha', 'Military', 'Sci-Fi']"
1059,Shokugeki no Souma: San no Sara – Tootsuki Ressha-hen, 12,2023-09, compleated,Spring,J.C.Staff,7.96,24.0,series,"['Ecchi', 'Gourmet', 'School', 'Shounen']"
1061,86 Part 2, 12,2023-09, compleated,Fall,A-1 Pictures,8.71,23.0,series,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']"
1062,Zetsuen no Tempest, 24,2023-10, compleated,Fall,Bones,7.91,24.0,series,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Psychological', 'Shounen']"
1063,Skate-Leading☆Stars, 12,2023-09, compleated,Winter,J.C.Staff,6.45,23.0,series,"['Performing Arts', 'School', 'Sports']"
1064,Sword Art Online: Alicization – War of Underworld 2nd Season, 11,2023-09, compleated,Summer,A-1 Pictures,7.48,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Video Game']"
1065,Nekomonogatari: Kuro, 4,2023-10, compleated,Fall,Shaft,7.93,24.0,series,"['Comedy', 'Ecchi', 'Romance', 'Supernatural']"
1067,Durarara!!x2 Ketsu, 12,2023-10, compleated,Winter,Shuka,8.06,24.0,series,"['Action', 'Mystery', 'Supernatural']"
1068,IDOLiSH7 Second Beat!, 15,2023-10, compleated,Spring,TROYCA,8.15,24.0,series,"['Drama', 'Idols (Male)', 'Music']"
1069,Ousama Ranking: Yuuki no Takarabako, 10,2023-09, compleated,Spring,Wit Studio,7.26,22.0,series,"['Adventure', 'Fantasy']"
1072,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season, 13,2023-10, compleated,Summer,Lerche,8.13,23.0,series,"['Drama', 'Psychological', 'School']"
1073,Gin no Saji, 11,2023-09, compleated,Summer,A-1 Pictures,8.09,23.0,series,"['Comedy', 'School', 'Shounen']"
1074,Taimadou Gakuen 35 Shiken Shoutai, 12,2023-09, compleated,Fall,SILVER LINK.,6.81,23.0,series,"['Action', 'Fantasy', 'Harem', 'Military', 'Romance']"
1075,"Komi-san wa, Comyushou desu. 2nd Season", 12,2023-09, compleated,Spring,OLM,8.06,23.0,series,"['Comedy', 'Romantic Subtext', 'School', 'Shounen']"
1076,"""Oshi no Ko""", 11,2023-09, compleated,Spring,Doga Kobo,8.78,30.0,series,"['Drama', 'Reincarnation', 'Seinen', 'Showbiz', 'Supernatural']"
1077,Shokei Shoujo no Virgin Road, 12,2023-09, compleated,Spring,J.C.Staff,6.79,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Isekai']"
1078,Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu, 12,2023-09, compleated,Winter,Felix Film,6.94,23.0,series,"['Fantasy', 'Isekai']"
1080,Hajime no Ippo: Rising, 25,2023-10, compleated,Fall,Madhouse,8.60,22.0,series,"['Combat Sports', 'Shounen', 'Sports']"
1084,Tsurune: Kazemai Koukou Kyuudou-bu, 13,2023-10, compleated,Fall,Kyoto Animation,7.67,24.0,series,"['School', 'Sports']"
1085,Blue Lock, 24,2023-09, compleated,Fall,8bit,8.32,24.0,series,"['Shounen', 'Sports', 'Team Sports']"
1087,Back Arrow, 24,2023-10, compleated,Winter,Studio VOLN,6.33,23.0,series,"['Action', 'Fantasy', 'Mecha']"
1088,Ex-Arm, 12,2023-09, compleated,Winter,Visual Flight,2.90,23.0,series,"['Action', 'Sci-Fi', 'Seinen']"
1089,"Yuusha, Yamemasu", 12,2023-09, compleated,Spring,EMT Squared,7.03,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy']"
1090,High School DxD, 12,2023-09, compleated,Winter,TNK,7.33,24.0,series,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mythology', 'Romance', 'School']"
1091,Technoroid: Overmind, 12,2023-09, compleated,Winter,Doga Kobo,6.53,24.0,series,"['Idols (Male)', 'Music', 'Mystery', 'Sci-Fi']"
1092,Kono Bijutsu-bu ni wa Mondai ga Aru!, 12,2023-09, compleated,Summer,feel.,7.18,24.0,series,"['Comedy', 'Romance', 'School', 'Seinen', 'Visual Arts']"
1093,Mashle, 12,2023-09, compleated,Spring,A-1 Pictures,7.56,23.0,series,"['Action', 'Comedy', 'Fantasy', 'Gag Humor', 'Parody', 'School', 'Shounen']"
1094,Kaze ga Tsuyoku Fuiteiru, 23,2023-10, compleated,Fall,Production I.G,8.39,23.0,series,"['Adult Cast', 'Drama', 'Sports']"
1095,Futsal Boys!!!!!, 12,2023-09, compleated,Winter,Diomedéa,5.46,24.0,series,"['Sports', 'Team Sports']"
1096,Fate/Zero 2nd Season, 12,2023-09, compleated,Spring,ufotable,8.55,24.0,series,"['Action', 'Fantasy', 'Supernatural']"
1097,Highschool of the Dead, 12,2023-09, compleated,Summer,Madhouse,7.07,24.0,series,"['Action', 'Ecchi', 'Gore', 'Horror', 'Shounen', 'Supernatural', 'Survival']"
1098,Uzaki-chan wa Asobitai!, 12,2023-09, compleated,Summer,ENGI,7.00,23.0,series,"['Adult Cast', 'Comedy', 'Romantic Subtext']"
1099,Kakegurui××, 12,2023-09, compleated,Winter,MAPPA,7.20,24.0,series,"['Drama', 'High Stakes Game', 'Mystery', 'Psychological', 'School', 'Shounen', 'Strategy Game']"
1101,Mou Ippon!, 13,2023-09, compleated,Winter,Bakken Record,7.17,23.0,series,"['Combat Sports', 'School', 'Shounen', 'Sports']"
1103,Fruits Basket: The Final, 13,2023-10, compleated,Spring,TMS Entertainment,8.99,23.0,series,"['Drama', 'Romance', 'Shoujo', 'Supernatural']"
1104,Jujutsu Kaisen 2nd Season, 23,2023-12, compleated,Summer,MAPPA,8.82,23.0,series,"['Action', 'Fantasy', 'School', 'Shounen']"
1106,Digimon Adventure:, 67,2023-10, compleated,Spring,Toei Animation,6.44,23.0,series,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Kids']"
1107,Sakamichi no Apollon, 12,2023-09, compleated,Spring,MAPPA,8.31,22.0,series,"['Drama', 'Historical', 'Josei', 'Love Polygon', 'Music', 'Romance', 'School']"
1109,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru", 10,2023-09, compleated,Fall,Diomedéa,7.16,24.0,series,"['Comedy', 'Harem', 'Romance', 'School']"
1110,Blue Period, 12,2023-09, compleated,Fall,Seven Arcs,7.81,23.0,series,"['Drama', 'School', 'Seinen', 'Visual Arts']"
1114,ReLIFE, 13,2023-10, compleated,Summer,TMS Entertainment,7.97,23.0,series,"['Drama', 'Romance', 'School']"
1115,Arifureta Shokugyou de Sekai Saikyou 2nd Season, 12,2023-09, compleated,Winter,asread.,7.18,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Isekai']"
1116,Inuyashiki, 11,2023-09, compleated,Fall,MAPPA,7.64,22.0,series,"['Action', 'Drama', 'Gore', 'Psychological', 'Sci-Fi', 'Seinen']"
1117,Ore dake Haireru Kakushi Dungeon, 12,2023-09, compleated,Winter,Okuruto Noboru,6.30,24.0,series,"['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem']"
1119,JoJo no Kimyou na Bouken (TV), 26,2023-10, compleated,Fall,David Production,7.89,24.0,series,"['Action', 'Adventure', 'Historical', 'Shounen', 'Supernatural', 'Vampire']"
1120,Yeosin Gangnim,null,, compleated,unknown,Cocktail Media,6.39,,series,"['Comedy', 'Drama', 'Romance']"
1121,Ao Haru Ride, 12,2023-09, compleated,Summer,Production I.G,7.64,23.0,series,"['Romance', 'School', 'Shoujo']"
1122,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai, 13,2023-10, compleated,Fall,CloverWorks,8.24,24.0,series,"['Drama', 'Romance', 'School', 'Supernatural']"
1123,Ballroom e Youkoso, 24,2023-10, compleated,Summer,Production I.G,8.18,24.0,series,"['Performing Arts', 'Shounen', 'Sports']"
1124,ACCA: 13-ku Kansatsu-ka, 12,2023-09, compleated,Winter,Madhouse,7.66,24.0,series,"['Adult Cast', 'Detective', 'Drama', 'Fantasy', 'Mystery', 'Seinen']"
1126,Rokudou no Onna-tachi, 12,2023-09, compleated,Spring,Satelight,6.43,23.0,series,"['Comedy', 'Delinquents', 'Harem', 'Romance', 'School', 'Shounen']"
1127,Genjitsu no Yohane: Sunshine in the Mirror, 13,2023-09, compleated,Summer,Sunrise,7.04,23.0,series,['Fantasy']
1128,Yumemiru Danshi wa Genjitsushugisha, 12,2023-09, compleated,Summer,AXsiZ,6.55,23.0,series,"['Comedy', 'Romance', 'School']"
1130,Yuru Camp△ Season 2, 13,2023-10, compleated,Winter,C-Station,8.53,23.0,series,"['CGDCT', 'Iyashikei', 'Slice of Life']"
1131,Yahari Ore no Seishun Love Comedy wa Machigatteiru., 13,2023-10, compleated,Spring,Brain's Base,8.01,24.0,series,"['Comedy', 'Love Polygon', 'Romance', 'School']"
1132,Haikyuu!! Second Season, 25,2023-10, compleated,Fall,Production I.G,8.63,24.0,series,"['School', 'Shounen', 'Sports', 'Team Sports']"
1133,Maken-Ki! Two, 10,2023-09, compleated,Winter,Xebec,6.14,24.0,series,"['Action', 'Ecchi', 'Harem', 'Martial Arts', 'School', 'Shounen', 'Super Power']"
1134,Black★★Rock Shooter: Dawn Fall, 12,2023-09, compleated,Spring,Bibury Animation CG,5.93,23.0,series,"['Action', 'Drama', 'Super Power']"
1135,Rokudenashi Majutsu Koushi to Akashic Records, 12,2023-09, compleated,Spring,LIDENFILMS,7.14,24.0,series,"['Action', 'Fantasy', 'School']"
1137,"Sentouin, Hakenshimasu!", 12,2023-09, compleated,Spring,J.C.Staff,7.16,24.0,series,"['Action', 'Comedy', 'Fantasy', 'Isekai', 'Sci-Fi']"
1138,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.", 12,2023-09, compleated,Winter,Project No.9,6.20,23.0,series,"['Comedy', 'Ecchi', 'Romance', 'Shounen', 'Supernatural']"
1139,Kamisama ni Natta Hi, 12,2023-09, compleated,Fall,P.A. Works,6.78,24.0,series,"['Drama', 'Fantasy']"
1140,Takt Op. Destiny, 12,2023-09, compleated,Fall,Madhouse,7.15,23.0,series,"['Action', 'Fantasy', 'Music', 'Sci-Fi']"
1141,Dragon Raja (Long Zu),null,, compleated,unknown,Garden Culture,7.12,22.0,series,"['Adventure', 'Fantasy']"
1142,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu, 12,2023-09, compleated,Winter,Geek Toys,6.33,23.0,series,"['Action', 'Adventure', 'Fantasy']"
1143,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta…, 12,2023-09, compleated,Spring,SILVER LINK.,7.47,24.0,series,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation', 'Reverse Harem', 'Romance', 'School', 'Shoujo']"
1144,One Piece 3D: Mugiwara Chase,null,, compleated,unknown,Toei Animation,6.91,,movie,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
1146,"Kanojo, Okarishimasu", 12,2023-09, compleated,Summer,TMS Entertainment,7.04,24.0,series,"['Adult Cast', 'Comedy', 'Harem', 'Romance', 'Shounen']"
1148,UniteUp!, 12,2023-09, compleated,Winter,CloverWorks,7.03,24.0,series,"['Idols (Male)', 'Music', 'Slice of Life']"
1151,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou – Yakusai-hen, 11,2023-09, compleated,Winter,J.C.Staff,8.24,24.0,series,"['Action', 'Adventure', 'Fantasy']"
1152,Shadows House 2nd Season, 12,2023-09, compleated,Summer,CloverWorks,8.01,23.0,series,"['Fantasy', 'Mystery', 'Seinen']"
1154,Ookami Shoujo to Kuro Ouji, 12,2023-09, compleated,Fall,TYO Animations,7.04,24.0,series,"['Comedy', 'Romance', 'School', 'Shoujo']"
1155,Kaijin Kaihatsu-bu no Kuroitsu-san, 12,2023-09, compleated,Winter,Quad,6.73,23.0,series,"['Comedy', 'Fantasy', 'Workplace']"
1156,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita", 13,2023-10, compleated,Fall,Studio Flad,6.94,23.0,series,"['Adventure', 'Fantasy', 'Romance']"
1157,Berserk 2nd Season, 12,2023-09, compleated,Spring,GEMBA,6.56,24.0,series,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Gore', 'Horror', 'Military', 'Seinen']"
1159,Hundred, 12,2023-09, compleated,Spring,Production IMS,6.31,24.0,series,"['Action', 'Ecchi', 'Harem', 'Mecha', 'Romance', 'School', 'Sci-Fi']"
1160,Sankarea, 12,2023-09, compleated,Spring,Studio Deen,7.28,24.0,series,"['Comedy', 'Ecchi', 'Horror', 'Romance', 'Shounen', 'Supernatural']"
1164,Isshuukan Friends., 12,2023-09, compleated,Spring,Brain's Base,7.53,23.0,series,"['Comedy', 'School', 'Shounen']"
1165,BanG Dream! It’s MyGO!!!!!, 13,2023-09, compleated,Summer,SANZIGEN,8.23,24.0,series,['Music']
1167,Hyouken no Majutsushi ga Sekai wo Suberu, 12,2023-09, compleated,Winter,Cloud Hearts,6.36,24.0,series,"['Action', 'Fantasy', 'School']"
1168,"Kanojo, Okarishimasu 3rd Season", 12,2023-09, compleated,Summer,TMS Entertainment,7.07,23.0,series,"['Comedy', 'Romance', 'Shounen']"
1169,Princess Connect! Re:Dive Season 2, 12,2023-09, compleated,Winter,CygamesPictures,7.80,23.0,series,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']"
1171,Sonny Boy, 12,2023-09, compleated,Summer,Madhouse,7.78,24.0,series,"['Award Winning', 'Isekai', 'Mystery', 'Super Power']"
1173,Goblin Slayer, 12,2023-09, compleated,Fall,White Fox,7.42,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Gore']"
1174,Higurashi no Naku Koro ni Sotsu, 15,2023-10, compleated,Summer,Passione,6.73,23.0,series,"['Avant Garde', 'Gore', 'Horror', 'Mystery', 'Psychological', 'Supernatural']"
1175,Gakusen Toshi Asterisk, 12,2023-09, compleated,Fall,A-1 Pictures,6.82,23.0,series,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi']"
1177,SK∞, 12,2023-09, compleated,Winter,Bones,8.02,23.0,series,"['Racing', 'Sports']"
1181,AI no Idenshi, 12,2023-09, compleated,Summer,Madhouse,6.51,24.0,series,"['Drama', 'Psychological', 'Sci-Fi', 'Shounen', 'Suspense']"
1182,Tokyo Revengers, 24,2023-10, compleated,Spring,LIDENFILMS,7.97,23.0,series,"['Action', 'Delinquents', 'Drama', 'Shounen', 'Supernatural', 'Time Travel']"
1183,Tokyo Ghoul, 12,2023-09, compleated,Summer,Pierrot,7.79,24.0,series,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen']"
1184,"Seija Musou: Salaryman, Isekai de Ikinokoru Tame ni Ayumu Michi", 12,2023-09, compleated,Summer,Cloud Hearts,6.59,24.0,series,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation']"
1185,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito, 12,2023-09, compleated,Spring,EMT Squared,6.66,23.0,series,"['Action', 'Fantasy', 'Harem', 'Isekai', 'Reincarnation', 'Romance']"
1186,Owari no Seraph: Nagoya Kessen-hen, 12,2023-09, compleated,Fall,Wit Studio,7.62,23.0,series,"['Action', 'Drama', 'Military', 'Shounen', 'Supernatural', 'Vampire']"
1187,Taboo Tattoo, 12,2023-09, compleated,Summer,J.C.Staff,5.74,24.0,series,"['Action', 'Martial Arts', 'Seinen', 'Super Power', 'Supernatural']"
1188,Gintama°, 51,2023-10, compleated,Spring,Bandai Namco Pictures,9.06,24.0,series,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
1189,Kokkoku, 12,2023-09, compleated,Winter,Geno Studio,6.99,23.0,series,"['Adult Cast', 'Drama', 'Mystery', 'Psychological', 'Seinen', 'Supernatural']"
1190,Boku no Hero Academia: Memories,null,, compleated,unknown,Bones,6.54,23.0,series,"['Action', 'School', 'Shounen', 'Super Power']"
1191,Dead Dead Demons Dededede Destruction (ONA),null,, compleated,unknown,Production +h.,7.63,23.0,series,"['Drama', 'School', 'Sci-Fi', 'Seinen']"
1192,Black Lagoon, 12,2023-09, compleated,Spring,Madhouse,8.03,23.0,series,"['Action', 'Adult Cast', 'Organized Crime', 'Seinen']"
1193,Peach Boy Riverside, 12,2023-09, compleated,Summer,Asahi Production,6.25,23.0,series,"['Adventure', 'Fantasy', 'Shounen']"
1194,Overlord II, 13,2023-10, compleated,Winter,Madhouse,7.76,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Isekai']"
1195,Shoot! Goal to the Future, 13,2023-10, compleated,Summer,EMT Squared,5.24,23.0,series,"['Shounen', 'Sports', 'Team Sports']"
1197,Kuusen Madoushi Kouhosei no Kyoukan, 12,2023-09, compleated,Summer,Diomedéa,6.32,23.0,series,"['Action', 'Drama', 'Fantasy', 'School']"
1198,NieR:Automata Ver1.1a, 12,2023-09, compleated,Winter,A-1 Pictures,7.56,23.0,series,"['Action', 'Fantasy', 'Sci-Fi']"
1199,Saikyou Onmyouji no Isekai Tenseiki, 13,2023-09, compleated,Winter,Studio Blanc.,7.18,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Isekai', 'Reincarnation']"
1200,Kuro no Shoukanshi, 12,2023-09, compleated,Summer,Satelight,7.09,23.0,series,"['Action', 'Fantasy', 'Isekai', 'Reincarnation']"
1201,Detective Conan,null,, ongoing,Winter,TMS Entertainment,8.17,,series,"['Adventure', 'Comedy', 'Detective', 'Mystery', 'Shounen']"
1202,Naruto, 220,2023-10, compleated,Fall,Pierrot,7.99,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']"
1203,Shiguang Dailiren II,null,2023-12, compleated,unknown,LAN Studio,8.47,24.0,series,"['Adult Cast', 'Drama', 'Mystery', 'Supernatural', 'Suspense', 'Time Travel']"
1206,Seijo no Maryoku wa Bannou desu, 12,2023-09, compleated,Spring,Diomedéa,7.28,23.0,series,"['Adult Cast', 'Fantasy', 'Isekai', 'Medical', 'Romance']"
1207,Kakegurui, 12,2023-09, compleated,Summer,MAPPA,7.24,24.0,series,"['Drama', 'High Stakes Game', 'Mystery', 'Psychological', 'School', 'Shounen', 'Strategy Game']"
1208,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,null,2023-12, compleated,unknown,A-1 Pictures,8.81,,movie,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen']"
1210,Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note, 13,2023-10, compleated,Summer,TROYCA,7.38,23.0,series,"['Fantasy', 'Mystery', 'Supernatural']"
1211,Sono Bisque Doll wa Koi wo Suru, 12,2023-09, compleated,Winter,CloverWorks,8.22,23.0,series,"['Otaku Culture', 'Romance', 'School', 'Seinen']"
1212,Seirei Gensouki, 12,2023-09, compleated,Summer,TMS Entertainment,7.06,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Harem', 'Isekai', 'Reincarnation', 'Romance']"
1213,Trinity Seven, 12,2023-09, compleated,Fall,Seven Arcs Pictures,7.06,24.0,series,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'School', 'Shounen']"
1214,Megami-ryou no Ryoubo-kun., 10,2023-09, compleated,Summer,asread.,6.52,24.0,series,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Shounen']"
1215,King's Raid: Ishi wo Tsugumono-tachi, 26,2023-10, compleated,Fall,OLM,6.03,24.0,series,"['Action', 'Adventure', 'Fantasy']"
