,title,eps_count,publish_date,status,season,studio,rate,eps_period,type,classification
403,Bakuman. 3rd Season, 25,2023-10, compleated,Fall,J.C.Staff,8.53,24.0,series,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']"
404,Hataraku Maou-sama!!, 12,2023-09, compleated,Summer,Studio 3Hz,6.66,23.0,series,"['Comedy', 'Fantasy', 'Mythology', 'Romantic Subtext', 'Workplace']"
405,Mahoutsukai no Yome, 24,2023-10, compleated,Fall,Wit Studio,8.06,24.0,series,"['Drama', 'Fantasy', 'Mythology', 'Romance', 'Shounen']"
408,Another, 12,2023-09, compleated,Winter,P.A. Works,7.48,24.0,series,"['Gore', 'Horror', 'Mystery', 'School', 'Supernatural']"
409,Gekidol: Actidol Project, 12,2023-12, compleated,Winter,Hoods Entertainment,5.50,23.0,series,"['Drama', 'Idols (Female)', 'Music', 'Performing Arts', 'Sci-Fi']"
410,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders, 24,2023-10, compleated,Spring,David Production,8.10,24.0,series,"['Action', 'Adventure', 'Shounen', 'Supernatural']"
411,Masamune-kun no Revenge, 12,2023-09, compleated,Winter,SILVER LINK.,6.74,24.0,series,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']"
412,Uramichi Oniisan, 13,2023-10, compleated,Summer,Studio Blanc.,7.70,23.0,series,"['Adult Cast', 'Comedy', 'Gag Humor', 'Showbiz', 'Workplace']"
415,Inu ni Nattara Suki na Hito ni Hirowareta., 12,2023-09, compleated,Winter,Quad,5.10,12.0,series,"['Comedy', 'Ecchi']"
416,Overlord, 13,2023-10, compleated,Summer,Madhouse,7.91,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Isekai']"
417,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria, 12,2023-09, compleated,Spring,J.C.Staff,7.07,25.0,series,"['Action', 'Adventure', 'Fantasy']"
418,"Hachi-nan tte, Sore wa Nai deshou!", 12,2023-09, compleated,Spring,Shin-Ei Animation,6.26,23.0,series,"['Action', 'Fantasy', 'Isekai', 'Reincarnation']"
419,Odd Taxi, 13,2023-10, compleated,Spring,OLM,8.68,23.0,series,"['Anthropomorphic', 'Award Winning', 'Mystery']"
421,Nagi no Asu kara, 26,2023-10, compleated,Fall,P.A. Works,7.97,23.0,series,"['Drama', 'Fantasy', 'Love Polygon', 'Romance']"
422,Shinmai Renkinjutsushi no Tenpo Keiei, 12,2023-09, compleated,Fall,ENGI,6.61,23.0,series,"['Adventure', 'Fantasy', 'Slice of Life']"
423,Durarara!!, 24,2023-10, compleated,Winter,Brain's Base,8.11,24.0,series,"['Action', 'Mystery', 'Supernatural']"
424,Mononogatari, 12,2023-09, compleated,Winter,Bandai Namco Pictures,7.24,23.0,series,"['Action', 'Adult Cast', 'Fantasy', 'Mythology', 'Seinen']"
425,Koroshi Ai, 12,2023-09, compleated,Winter,Platinum Vision,6.90,23.0,series,"['Action', 'Adult Cast', 'Josei', 'Organized Crime', 'Romance']"
427,Shin Tennis no Oujisama: U-17 World Cup, 13,2023-10, compleated,Summer,M.S.C,6.69,23.0,series,"['School', 'Shounen', 'Sports']"
428,Dekiru Neko wa Kyou mo Yuuutsu, 13,2023-09, compleated,Summer,GoHands,7.60,23.0,series,"['Adult Cast', 'Anthropomorphic', 'Comedy', 'Supernatural']"
430,Amagi Brilliant Park, 13,2023-10, compleated,Fall,Kyoto Animation,7.46,24.0,series,"['Comedy', 'Fantasy', 'Workplace']"
431,Kyokou Suiri, 12,2023-09, compleated,Winter,Brain's Base,6.91,24.0,series,"['Adult Cast', 'Mystery', 'Mythology', 'Romance', 'Shounen', 'Supernatural']"
432,SSSS.Dynazenon, 12,2023-09, compleated,Spring,Trigger,7.42,23.0,series,"['Action', 'Mecha', 'Sci-Fi']"
433,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou – Meikyuu-hen, 11,2023-09, compleated,Summer,J.C.Staff,7.72,23.0,series,"['Action', 'Adventure', 'Fantasy']"
434,Kawaisugi Crisis, 12,2023-09, compleated,Spring,SynergySP,6.85,23.0,series,"['Comedy', 'Pets', 'Sci-Fi', 'Shounen']"
435,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season, 24,2023-10, compleated,Winter,David Production,8.44,23.0,series,"['Action', 'Adventure', 'Shounen', 'Supernatural']"
437,Kimetsu no Yaiba, 26,2023-10, compleated,Spring,ufotable,8.49,23.0,series,"['Action', 'Award Winning', 'Fantasy', 'Historical', 'Shounen']"
438,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu", 12,2023-09, compleated,Spring,HORNETS,7.17,23.0,series,"['Action', 'Fantasy', 'Isekai']"
441,One Punch Man, 12,2023-09, compleated,Fall,Madhouse,8.50,24.0,series,"['Action', 'Adult Cast', 'Comedy', 'Parody', 'Seinen', 'Super Power']"
442,Slow Loop, 12,2023-09, compleated,Winter,Connect,7.25,24.0,series,"['CGDCT', 'Gourmet', 'Iyashikei', 'Slice of Life']"
444,Tsukiuta. The Animation 2, 13,2023-10, compleated,Fall,Children's Playground Entertainment,6.66,23.0,series,"['Idols (Male)', 'Music']"
445,Cowboy Bebop, 26,2023-10, compleated,Spring,Sunrise,8.75,24.0,series,"['Action', 'Adult Cast', 'Award Winning', 'Sci-Fi', 'Space']"
447,Boruto: Naruto Next Generations, 293,2023-09, compleated,Spring,Pierrot,6.05,23.0,series,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']"
448,Niehime to Kemono no Ou, 24,2023-09, compleated,Spring,J.C.Staff,7.42,23.0,series,"['Anthropomorphic', 'Fantasy', 'Romance', 'Shoujo']"
451,Sin: Nanatsu no Taizai, 12,2023-09, compleated,Spring,Artland,5.76,23.0,series,"['Action', 'Adventure', 'Erotica', 'Fantasy']"
452,Ushio to Tora (TV) 2nd Season, 13,2023-10, compleated,Spring,MAPPA,7.89,24.0,series,"['Action', 'Adventure', 'Mythology', 'Shounen', 'Supernatural']"
453,Bishounen Tanteidan, 12,2023-09, compleated,Spring,Shaft,7.11,23.0,series,"['Crossdressing', 'Mystery', 'School', 'Visual Arts']"
454,One Piece: Gyojin Tou-hen,null,, ongoing,unknown,Toei Animation,7.40,,series,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
456,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru", 12,2023-09, compleated,Fall,SILVER LINK.,7.36,23.0,series,"['Action', 'Drama', 'Fantasy', 'Isekai', 'Mystery', 'Reincarnation', 'Romance']"
457,Isuca, 10,2023-09, compleated,Winter,Arms,5.98,23.0,series,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Mythology', 'Romance', 'School', 'Seinen', 'Supernatural']"
458,Cardfight!! Vanguard: overDress, 12,2023-09, compleated,Spring,GIFTanimation,5.96,24.0,series,"['Comedy', 'Strategy Game']"
459,Seven Knights Revolution: Eiyuu no Keishousha, 12,2023-09, compleated,Spring,domerica,6.31,23.0,series,"['Action', 'Adventure', 'Fantasy']"
460,Spy x Family Movie: Code: White,null,, compleated,unknown,CloverWorks,8.18,,movie,"['Action', 'Childcare', 'Comedy', 'Shounen']"
461,Sakugan, 12,2023-09, compleated,Fall,Satelight,6.51,23.0,series,"['Adventure', 'Childcare', 'Comedy', 'Mecha', 'Sci-Fi']"
463,Kenja no Deshi wo Nanoru Kenja, 12,2023-09, compleated,Winter,Studio A-CAT,6.32,23.0,series,"['Adventure', 'Fantasy', 'Isekai', 'Magical Sex Shift']"
465,Shaman King (2021), 52,2023-10, compleated,Spring,Bridge,6.89,23.0,series,"['Action', 'Adventure', 'Shounen', 'Super Power', 'Supernatural']"
466,"Ijiranaide, Nagatoro-san", 12,2023-09, compleated,Spring,Telecom Animation Film,7.28,23.0,series,"['Comedy', 'Romantic Subtext', 'School']"
467,High School DxD New, 12,2023-09, compleated,Summer,TNK,7.48,26.0,series,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Mythology', 'Romance', 'School']"
468,Vanitas no Karte, 12,2023-09, compleated,Summer,Bones,7.91,23.0,series,"['Action', 'Fantasy', 'Historical', 'Mystery', 'Shounen', 'Vampire']"
470,Boku no Hero Academia: UA Heroes Battle,null,, compleated,unknown,Bones,6.67,,movie,"['Action', 'School', 'Shounen', 'Super Power']"
471,Owarimonogatari, 12,2023-09, compleated,Fall,Shaft,8.45,26.0,series,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']"
472,Eromanga-sensei, 12,2023-09, compleated,Spring,A-1 Pictures,6.35,23.0,series,"['Comedy', 'Ecchi', 'Otaku Culture', 'Romance']"
474,Senpai ga Uzai Kouhai no Hanashi, 12,2023-09, compleated,Fall,Doga Kobo,7.60,23.0,series,"['Adult Cast', 'Comedy', 'Romantic Subtext', 'Workplace']"
475,Yaku nara Mug Cup mo, 12,2023-09, compleated,Spring,Nippon Animation,6.53,14.0,series,"['CGDCT', 'Iyashikei', 'School', 'Slice of Life', 'Visual Arts']"
476,Owari no Seraph, 12,2023-09, compleated,Spring,Wit Studio,7.49,23.0,series,"['Action', 'Drama', 'Military', 'Shounen', 'Supernatural', 'Vampire']"
477,Birdie Wing: Golf Girls’ Story Season 2, 12,2023-09, compleated,Spring,Bandai Namco Pictures,7.64,23.0,series,['Sports']
478,One Piece: Heart of Gold,null,2024-08, compleated,unknown,Toei Animation,7.49,,movie,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']"
479,Hanyou no Yashahime: Sengoku Otogizoushi – Ni no Shou, 24,2023-10, compleated,Fall,Sunrise,7.08,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Mythology', 'Time Travel']"
480,RWBY: Hyousetsu Teikoku, 12,2023-09, compleated,Summer,Shaft,6.35,24.0,series,['Action']
481,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu, 12,2023-09, compleated,Spring,Studio Comet,5.90,23.0,series,"['Action', 'Fantasy', 'Slice of Life']"
482,Kono Oto Tomare! Part 2, 13,2023-10, compleated,Fall,Platinum Vision,8.42,23.0,series,"['Drama', 'Music', 'Performing Arts', 'Romance', 'School', 'Shounen']"
486,Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu., 12,2023-09, compleated,Summer,OLM Team Yoshioka,7.19,23.0,series,"['Fantasy', 'Isekai', 'Josei', 'Reincarnation']"
487,Gekkan Shoujo Nozaki-kun, 12,2023-09, compleated,Summer,Doga Kobo,7.83,24.0,series,"['Comedy', 'Otaku Culture', 'Romance', 'School']"
488,Akatsuki no Yona, 24,2023-10, compleated,Fall,Pierrot,8.03,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Shoujo']"
489,Non Non Biyori Nonstop, 12,2023-09, compleated,Winter,SILVER LINK.,8.37,24.0,series,"['CGDCT', 'Iyashikei', 'Seinen', 'Slice of Life']"
490,Suki na Ko ga Megane wo Wasureta, 13,2023-09, compleated,Summer,GoHands,6.89,23.0,series,"['Comedy', 'Romantic Subtext', 'School', 'Shounen']"
491,Ansatsu Kyoushitsu, 22,2023-10, compleated,Winter,Lerche,8.09,23.0,series,"['Action', 'Comedy', 'School', 'Shounen']"
492,Tonikaku Kawaii, 12,2023-09, compleated,Fall,Seven Arcs,7.89,23.0,series,"['Comedy', 'Romance', 'Shounen']"
493,Fate/Zero, 13,2023-10, compleated,Fall,ufotable,8.28,28.0,series,"['Action', 'Fantasy', 'Supernatural']"
494,Imouto sae Ireba Ii., 12,2023-09, compleated,Fall,SILVER LINK.,7.27,23.0,series,"['Adult Cast', 'Comedy', 'Ecchi', 'Romance']"
495,"Dragon, Ie wo Kau.", 12,2023-09, compleated,Spring,Signal.MD,6.41,23.0,series,"['Comedy', 'Fantasy', 'Shounen']"
496,Sand Land: The Series,null,2024-05, compleated,unknown,Anima,7.37,24.0,series,"['Action', 'Adventure', 'Fantasy', 'Supernatural']"
497,Nomad: Megalo Box 2, 13,2023-10, compleated,Spring,TMS Entertainment,8.19,24.0,series,"['Adult Cast', 'Combat Sports', 'Sci-Fi', 'Sports']"
498,Yami Shibai 8, 13,2023-10, compleated,Winter,ILCA,5.83,4.0,series,"['Avant Garde', 'Horror', 'Supernatural']"
499,Hataraku Maou-sama!! 2nd Season, 12,2023-09, compleated,Summer,Studio 3Hz,6.72,23.0,series,"['Comedy', 'Fantasy', 'Mythology', 'Romantic Subtext', 'Workplace']"
501,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?, 12,2023-09, compleated,Summer,J.C.Staff,5.55,23.0,series,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy']"
503,Shokugeki no Souma: Gou no Sara, 13,2023-10, compleated,Spring,J.C.Staff,7.32,23.0,series,"['Ecchi', 'Gourmet', 'School', 'Shounen']"
505,Assault Lily: Bouquet, 12,2023-09, compleated,Fall,Shaft,6.48,24.0,series,"['Action', 'Fantasy']"
506,Tengoku Daimakyou, 13,2023-09, compleated,Spring,Production I.G,8.23,23.0,series,"['Adventure', 'Mystery', 'Sci-Fi', 'Seinen', 'Survival']"
507,Birdie Wing: Golf Girls’ Story, 13,2023-10, compleated,Spring,Bandai Namco Pictures,7.52,23.0,series,['Sports']
508,Kakegurui Twin,null,2023-10, compleated,unknown,MAPPA,7.22,26.0,series,"['Drama', 'Mystery', 'Psychological', 'School', 'Shounen']"
511,Hoshiai no Sora, 12,2023-09, compleated,Fall,8bit,7.59,24.0,series,"['Drama', 'School', 'Sports']"
512,Kaguya-sama wa Kokurasetai: Ultra Romantic, 13,2023-10, compleated,Spring,A-1 Pictures,9.04,23.0,series,"['Comedy', 'Romance', 'School', 'Seinen']"
515,Clannad: After Story, 24,2023-10, compleated,Fall,Kyoto Animation,8.93,24.0,series,"['Drama', 'Romance', 'Supernatural']"
